node,adj nodes
419067435,"[419067475, 419067307]"
419065809,"[419065786, 419065946, 419065831]"
419065786,"[419065809, 419065880, 419065984]"
419065845,[419065809]
419070940,"[419070902, 1475011337, 419070158]"
419070158,"[419070184, 3395999483, 419070940]"
419066056,"[419066147, 419066134, 419066199, 419066102]"
419066134,"[419066056, 419066199, 419066351]"
419066199,"[419066145, 419066134]"
419065161,"[419065439, 419066259, 419066052]"
419066259,"[1303312666, 419065161, 419065286, 419066268, 419066052]"
419068788,"[419069797, 419069184, 419068929]"
419069797,"[419069884, 419069861, 419068788]"
419065785,"[419065937, 1707111724]"
419065937,[419065785]
2878923740,"[419067230, 419067517, 419067145, 419067450]"
419067517,"[419066396, 419067307]"
419065835,"[419065835, 1707111724, 419069043]"
1292049300,[419065835]
419068801,"[3682623926, 3682623927, 419070037]"
3682623926,"[3682623927, 419068773, 419068801]"
3682623927,"[3682623931, 3682623926, 3682623935]"
419068879,"[419069793, 419068881, 419069365, 419069001]"
419069001,"[419068916, 419068881, 419068879, 419069775]"
419068881,"[419068916, 419069001]"
419069775,"[419069804, 419069001, 419069775]"
419069783,[419069775]
419072999,"[419072913, 419072903]"
419072919,[419072999]
419072952,[419072913]
419072913,[419072999]
419072855,"[419074100, 419072930, 419073974]"
419074100,"[419072855, 419073974, 419074159]"
419074179,"[419072837, 419072930, 419074159]"
419072930,"[419074179, 419072855, 419072903]"
419073236,"[419073236, 419073336]"
419072945,[419073236]
1637705618,"[419052491, 1636771527]"
1636771527,"[1637705618, 1636771510]"
419073418,"[419073336, 419073418, 419073372]"
419073340,[419073418]
419054407,"[419052331, 419054238]"
419052331,"[419054407, 419052548, 419052491]"
419075306,"[1293212611, 419070477, 419074532, 1293212613]"
419070477,"[1293212615, 419075306, 1293212610]"
419073336,"[419078054, 419073102, 419077916, 419073236, 419073418]"
419073218,[419073336]
419075135,"[419070467, 419075027, 419075477]"
419075027,"[419070467, 419075104, 419075135]"
419044559,[419044586]
419044586,"[419044602, 419044393]"
419075266,"[1293212616, 419070402, 419075385, 1293212613]"
419070402,"[419075266, 1293212610, 1293212620]"
419075407,"[419075401, 419075463, 419075381, 419074374]"
419075401,"[419075407, 419074684, 419075381, 419075366]"
419075381,"[419075333, 419074755, 419075401]"
419044467,"[528364382, 419043521, 419044373, 419044481]"
419044373,"[419044373, 419044467, 419044393]"
419044393,"[419044586, 419044373, 419044481]"
419044602,"[419044586, 419044602, 419044481]"
419044481,"[1622070061, 419044602, 419044393]"
419074684,"[419074755, 419075401, 419074640, 419075366]"
419075366,"[419075333, 419075463, 419075401]"
419044591,[419044602]
419037957,"[4114670093, 419037972, 1191013083, 419037958]"
4114670093,"[419037957, 1191013083, 419037958, 419037952]"
419037958,"[4114670093, 419037976, 419037958, 419037952]"
419074556,"[419074640, 419074556, 419074374]"
419074725,[419074556]
1622070061,"[419044533, 419044220, 419044481, 419044393]"
419074374,"[419075407, 419074556, 419074374]"
419074219,[419074374]
419074520,"[419074276, 419075149, 419074441]"
419075149,"[419075333, 419075019, 419074520]"
419074755,"[419075333, 419074684, 419075381, 419074441]"
419075333,"[419075366, 419075381, 419075149]"
419040165,[419039402]
419039787,"[419039725, 419040022, 419039765]"
419039765,"[419040035, 419039503, 419039386, 419039787]"
419039503,"[419039538, 419039765, 419039402]"
419039402,"[419039474, 419039246, 419039503]"
419043675,"[1215992533, 1620291467, 419043880, 419043750]"
1215992533,"[1215992471, 419043675]"
1215992471,"[1215992533, 1215992328]"
1215992328,"[1215992471, 1626856322, 419043837]"
419043837,"[419043873, 1626856322, 1215992328]"
419043873,"[419043837, 419043880]"
419043880,[419043873]
419043653,[419043675]
419051040,"[419052920, 419050770, 1621258057]"
1621258057,"[1621258056, 419051319, 419050895, 419051040, 419052901]"
419074717,"[1299552680, 419073507, 419074447, 419074605]"
419074605,"[419073507, 419074912, 419074717]"
419073507,"[419074605, 419073536, 1299552722]"
1610340491,"[419052811, 419053116, 419052814, 419053059, 1610340487]"
419053116,"[1610340491, 1607801260, 1615533971]"
419052814,"[1611661282, 1238619606, 1238619603, 419052811, 1615533971]"
419073774,"[419073440, 419073649, 1299552713]"
419073440,"[419073774, 419074912, 419073551]"
419052861,"[419053101, 419052864, 419052946]"
419053101,"[419052861, 1610340487, 419053200]"
419074598,"[1299552689, 1299552695, 1299552713]"
1299552689,"[419073551, 419074440, 419074598]"
419073551,"[419073440, 1299535594, 1299552713, 1299552689]"
1299552713,"[419073774, 419073551, 419073872]"
419073649,"[419073774, 419074912, 419073536, 419074440]"
419074912,"[419073440, 419073649, 419074605, 419074447]"
419074447,"[419074912, 419074717, 419074440]"
419074440,"[1299552689, 419074447, 419074269]"
419052811,"[419052812, 3371513794, 419052814, 1238619603, 1610340491]"
419052812,"[1610340487, 419052864, 419052811]"
419074239,"[419074244, 419074554, 419074260]"
419074554,"[1299552695, 1299636651, 419074244, 419074239, 419074450]"
419077875,"[419077918, 419077799, 419077749, 419077824]"
419077799,"[419077866, 419077875, 419077749, 419078158]"
419077749,"[419077819, 419077629, 419077799]"
419073420,"[419077964, 419073287, 419078129, 419078082]"
419078082,"[419077964, 419077980, 419078096, 419073420]"
419077964,"[419077990, 419077879, 419078082]"
419073058,"[419072987, 419073160, 419073194]"
419073194,"[419072987, 419073330, 419073058]"
419047536,"[419050627, 419047910, 419048105, 419047127, 419049700]"
419049700,"[419049606, 419047536, 419049505, 419047583]"
419049606,"[419049700, 419049786, 419049702, 419049956]"
419049786,"[1626736681, 419049615, 419049606]"
1626736681,"[419050160, 1626736681, 419049786]"
419050160,"[419050007, 1626736681, 419049876]"
419050007,"[419050005, 419050229, 419050467, 419050160]"
419050467,"[419050007, 419050472, 2065645422, 419048690]"
419048690,"[2065645425, 419050467, 419048679, 419048472]"
419048472,"[419048471, 419048841, 419048690, 1240987310]"
419048841,"[419048472, 419048864, 419049263]"
419049263,"[419049266, 419049271, 419048841, 419049122]"
419049122,"[419049155, 419049444, 419049107, 419049263]"
419049444,"[419049122, 419049329, 419049438]"
419049329,"[419049444, 419049319, 419051238]"
419051238,"[419049329, 419051243, 419051341, 1628132379]"
419051341,"[419051238, 1129439708, 1628129098]"
1129439708,"[419051465, 419051452, 419051341, 419051652]"
419051652,"[1129439708, 419051733, 1242018347]"
419051733,"[1607716950, 1624035342, 419051652, 419051732]"
419050627,"[419053186, 419050683, 1607716925, 419050682]"
419053200,"[419053186, 419050627, 419053101, 419052946]"
419052946,"[419052861, 419051099, 419052940, 419053200]"
419051099,"[1235748261, 419050808, 419051102, 419052946]"
419050808,"[1145509027, 419050806, 419051099, 419050682]"
419050682,"[419050683, 419050808, 419050627, 1235748357]"
419074676,"[419074889, 419074454, 419074404]"
419074454,"[1296958422, 419074676, 1296958409]"
419073583,"[419074449, 419074654, 419073688, 419073560]"
419074654,"[419073583, 419074890, 419074449, 419074727]"
419074449,"[419074550, 419074654, 419074744]"
419051842,"[1234307058, 419051861, 1439317025, 1634935066]"
419051861,"[419051842, 419051867, 1635640793]"
419051867,"[419051869, 419051861, 419051867]"
419051869,"[1439317025, 419051867, 1234307085, 419051864]"
419051864,"[419051869, 419052040, 419051865, 419052041]"
419051865,"[419051871, 419051864, 1234307086]"
419051871,"[1234307056, 1635663853, 419051865, 1634935066]"
1634935066,"[1634934733, 419051871]"
419074890,"[419074800, 419074727, 419074654, 419074949]"
419074727,"[419074550, 419074654, 419073560]"
419074532,"[419075306, 419075442, 1296958422]"
419063761,"[419066584, 419063476, 419063553, 419063932, 419063946]"
419063932,"[419063399, 419066948, 419063761, 419066866, 419063700]"
419074889,"[419074676, 419074765, 419074665, 419073606, 419074404]"
419074404,"[419074331, 419075442, 419074676]"
419066948,"[419066714, 419066651, 419066866, 419066863, 419066575]"
419066575,"[419066651, 419066948, 1516162313, 1516162442]"
419066651,"[419066651, 419066575, 419066574]"
419075442,"[419074532, 419074744, 419074404, 419075477]"
419074331,"[419074550, 419075438, 419074765, 419074404]"
419074550,"[419074276, 419074331, 419074449, 419074727]"
